x,y,z,,
0.119992,-0.000306465,0.00317585,,
0.119993,-0.000306021,8.63E-07,,
-0.2,0.000499994,1.33E-10,,
-0.2,0.000499994,0.003175,,
0.119993,-0.000307554,0.00635084,,
-0.2,0.000499994,0.00635,,
-0.2,0.000499994,0.0127,,
-0.2,0.000499994,0.0254,,
0.11999,-0.000299502,0.0254007,,
0.119994,-0.000309721,0.0127008,,
0.119994,-0.000305608,-3.17E-03,,
-0.2,0.000499994,-3.18E-03,,
-0.2,0.000499994,-0.00635,,
-0.2,0.000499994,-0.0127,,
0.119993,-0.000305861,-0.00634911,,
0.119993,-0.000308786,-0.0126991,,
-0.2,0.000499994,-0.0254,,
0.119989,-0.000291981,-0.025399,,
0.119993,-0.00030593,0.000635862,,
0.119994,-0.000305973,0.00127086,,
0.119993,-0.000306062,0.00190586,,
0.119992,-0.000306316,0.00254086,,
-0.2,0.000499994,0.00254,,
-0.2,0.000499994,0.001905,,
-0.2,0.000499994,0.00127,,
-0.2,0.000499994,0.000635,,
0.118492,-0.000247648,8.58E-07,,
0.116989,-0.000225805,8.52E-07,,
0.115487,-0.000166947,8.48E-07,,
0.113983,-0.000126977,8.42E-07,,
0.112481,-0.000100825,8.37E-07,,
0.11098,-7.16E-05,8.33E-07,,
0.109478,-2.62E-05,8.29E-07,,
0.107974,7.10E-06,8.22E-07,,
0.106471,5.79E-05,8.17E-07,,
0.10497,0.000104815,8.13E-07,,
0.103466,0.000144172,8.08E-07,,
0.101964,0.000139061,8.02E-07,,
0.100461,0.000173721,8.00E-07,,
0.0989593,0.000201922,7.92E-07,,
0.0974553,0.000219237,7.89E-07,,
0.0959545,0.000279585,7.85E-07,,
0.0944492,0.000314476,7.81E-07,,
0.0929491,0.000340506,7.78E-07,,
0.0914453,0.000372898,7.71E-07,,
0.0899439,0.000436045,7.66E-07,,
0.0884398,0.000489764,7.64E-07,,
0.0869372,0.000499472,7.56E-07,,
0.0854355,0.000554983,7.56E-07,,
0.0839323,0.000593679,7.51E-07,,
0.0824308,0.000607342,7.43E-07,,
0.0809263,0.000657674,7.41E-07,,
0.0794264,0.000691906,7.38E-07,,
0.0779226,0.000707917,7.30E-07,,
0.0764198,0.000733986,7.28E-07,,
0.0749181,0.000778716,7.24E-07,,
0.0734168,0.000799891,7.17E-07,,
0.0719121,0.000829957,7.13E-07,,
0.0704132,0.000836235,7.07E-07,,
0.0689102,0.000858489,7.02E-07,,
0.0674068,0.000891816,6.97E-07,,
0.0659051,0.000908665,6.93E-07,,
0.0644033,0.000935797,6.88E-07,,
0.0628997,0.000953954,6.85E-07,,
0.0613978,0.000983998,6.79E-07,,
0.059896,0.000990178,6.74E-07,,
0.0583939,0.00103,6.70E-07,,
0.0568913,0.00104106,6.64E-07,,
0.0553878,0.00107068,6.61E-07,,
0.0538868,0.00109042,6.54E-07,,
0.0523836,0.00111469,6.51E-07,,
0.0508827,0.00114314,6.46E-07,,
0.0493791,0.00115215,6.41E-07,,
0.0478763,0.00117597,6.34E-07,,
0.0463729,0.00116699,6.27E-07,,
0.0448713,0.00118892,6.19E-07,,
0.0433706,0.00119778,6.14E-07,,
0.0418678,0.00120469,6.08E-07,,
0.0403633,0.00123124,5.99E-07,,
0.0388624,0.00121295,5.92E-07,,
0.0373604,0.00121756,5.86E-07,,
0.0358554,0.00125032,5.78E-07,,
0.0343532,0.00123217,5.71E-07,,
0.0328509,0.00125963,5.63E-07,,
0.0313476,0.00124956,5.57E-07,,
0.0298474,0.00126793,5.49E-07,,
0.0283445,0.0012858,5.41E-07,,
0.0268423,0.00128241,5.33E-07,,
0.0253395,0.00128669,5.27E-07,,
0.0238349,0.00129617,5.17E-07,,
0.0223324,0.0012945,5.13E-07,,
0.0208334,0.00130637,5.04E-07,,
0.0193306,0.00130818,4.99E-07,,
0.0178262,0.00129673,4.87E-07,,
